カード名,発行会社,カード区分,国際ブランド,年会費（税込）,年会費条件,月々の推奨利用額,還元率_基本（%）,ボーナス還元率（%）,還元対象カテゴリ,還元上限（月額）,ポイントプログラム名,ポイント換算（円→P）,旅行保険_有無,海外旅行保険_付帯種別,海外旅行保険_最高補償額（万円）,ショッピング保険_年間補償額（万円）,電子マネー対応,タッチ決済対応,スマホ決済対応,空港ラウンジ,コンシェルジュ,ETC_可否,ETC_発行手数料,ETC_年会費,家族カード可否,即時発行,バーチャルカード対応,番号レスカード,申込対象,入会特典ポイント,入会特典有効期限,公式キャンペーン,画像ファイル名,メリット,デメリット
dカード,dカード,一般,"American Express/JCB/MasterCard/VISA",永年無料,条件なし,3万円～5万円,1.0,0.2,指定なし,"10,000円",dポイント,100円→1P,あり,自動付帯,1000,100,WAON/iD,あり,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,可,無料,550円,なし,なし,あり,あり,学生可,"3,000P",2025-12-05,入会+利用でポイント進呈,default.png,即時発行・高還元,家族カードなし
セゾンカード,セゾン,一般,"American Express/JCB/MasterCard/VISA",永年無料,条件なし,3万円～5万円,1.0,1.0,指定なし,上限なし,永久不滅ポイント,100円→2P,なし,なし,0,100,"QUICPay/交通系/楽天Edy",なし,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,不可,"1,100円",550円,あり,あり,なし,なし,学生可,,,default.png,コンビニ優遇・タッチ決済・年会費無料,家族カードなし
エポスカードゴールド,エポス,ゴールド,"American Express/JCB/MasterCard/VISA","11,000円",条件付,5万円～,1.2,0.2,指定なし,"5,000円",エポスポイント,100円→1P,なし,なし,1000,100,WAON/iD,あり,"Apple Pay",国内主要空港,なし,可,"1,100円",550円,あり,なし,なし,あり,20歳以上,,,,default.png,ラウンジ特典・即時発行・高還元,家族カードなし
三菱UFJニコスカード,三菱UFJニコス,一般,"American Express/Diners/JCB/VISA",永年無料,条件なし,～1万円,1.0,0.5,指定なし,"10,000円",永久不滅ポイント,100円→1P,なし,利用付帯,3000,0,"WAON/交通系/楽天Edy",なし,"Google Pay/おサイフケータイ",なし,なし,不可,無料,無料,あり,なし,あり,なし,高校生を除く18歳以上,,,,default.png,コンビニ優遇・タッチ決済・マイル移行・即時発行・年会費無料,旅行保険弱め
セゾンカードプラチナ,セゾン,プラチナ,Diners/VISA,"33,000円",条件付,3万円～5万円,1.5,0.2,指定なし,上限なし,永久不滅ポイント,100円→1P,あり,なし,5000,300,"QUICPay/WAON/iD/交通系/楽天Edy",なし,"Apple Pay/Google Pay",国内+海外ラウンジ,あり,可,"1,100円",無料,あり,なし,なし,なし,20歳以上,"3,000P",2025-12-16,入会+利用でポイント進呈,default.png,マイル移行・高還元,年会費が高い・旅行保険弱め
三井住友カードゴールド,三井住友カード,ゴールド,Diners/JCB,"11,000円",条件付,～1万円,1.2,0.2,指定なし,上限なし,Vポイント,100円→1P,あり,利用付帯,3000,100,WAON/iD,なし,"Apple Pay/Google Pay/おサイフケータイ",国内主要空港,なし,可,無料,無料,なし,なし,なし,あり,高校生を除く18歳以上,,,,default.png,コンビニ優遇・タッチ決済・マイル移行・高還元,ETC有料
au PAY カード,au PAY カード,一般,"American Express/MasterCard/VISA",永年無料,条件なし,5万円～,1.0,0.2,指定なし,上限なし,ポンタポイント,100円→1P,なし,なし,3000,0,"交通系/楽天Edy",なし,"Apple Pay",なし,なし,可,"1,100円",無料,あり,あり,あり,なし,20歳以上,"3,000P",2025-10-17,入会+利用でポイント進呈,default.png,コンビニ優遇・ラウンジ特典・年会費無料・高還元,旅行保険弱め
アメリカン・エキスプレスカードプラチナ,アメリカン・エキスプレス,プラチナ,American Express,"33,000円",条件付,1万円～3万円,1.5,0.2,指定なし,"5,000円",アメックスポイント,100円→2P,あり,自動付帯,0,0,"QUICPay/iD/楽天Edy",なし,おサイフケータイ,国内+海外ラウンジ,あり,可,"1,100円",550円,なし,あり,あり,なし,学生可,"5,000P",2025-12-20,入会+利用でポイント進呈,default.png,コンビニ優遇・タッチ決済・マイル移行,家族カードなし
オリコカードゴールド,オリコ,ゴールド,"JCB/MasterCard/VISA","11,000円",条件付,1万円～3万円,1.2,0.2,指定なし,"10,000円",永久不滅ポイント,100円→1P,あり,なし,1000,100,"QUICPay/WAON/iD/交通系/楽天Edy",なし,"Apple Pay",国内主要空港,なし,可,無料,550円,あり,あり,あり,なし,高校生を除く18歳以上,,,,default.png,コンビニ優遇・マイル移行・年会費無料・高還元,家族カードなし・海外手数料高め
ビューカードプラチナ,ビューカード,プラチナ,Diners/VISA,"33,000円",条件付,3万円～5万円,1.5,0.5,電車や駅での買い物,上限なし,永久不滅ポイント,100円→1P,あり,自動付帯,5000,300,"iD/交通系/楽天Edy",あり,"Apple Pay/Google Pay/おサイフケータイ",国内+海外ラウンジ,あり,不可,無料,550円,あり,なし,なし,あり,20歳以上,,,,default.png,コンビニ優遇・マイル移行・高還元,年会費が高い
楽天プレミアムカード,楽天カード,プラチナ,JCB/MasterCard,"33,000円",条件付,～1万円,1.5,1.0,指定なし,"10,000円",楽天ポイント,100円→1P,あり,利用付帯,3000,0,"WAON/iD/交通系/楽天Edy",なし,"Apple Pay/Google Pay",国内+海外ラウンジ,あり,不可,"1,100円",無料,あり,なし,あり,あり,学生可,"7,000P",2025-10-14,入会+利用でポイント進呈,default.png,タッチ決済・マイル移行・年会費無料・高還元,ETC有料・年会費が高い
イオンカードゴールド,イオンカード,ゴールド,"American Express/Diners/JCB/VISA","11,000円",条件付,～1万円,1.2,0.2,指定なし,"5,000円",ワオンポイント,100円→1P,あり,自動付帯,1000,0,"QUICPay/WAON/iD/交通系",なし,"Apple Pay/Google Pay",国内主要空港,なし,可,無料,550円,なし,あり,なし,なし,高校生を除く18歳以上,"15,000P",2025-11-22,入会+利用でポイント進呈,default.png,コンビニ優遇・ネット通販優遇・マイル移行・ラウンジ特典,家族カードなし
au PAY カードゴールド,au PAY カード,ゴールド,"American Express/MasterCard","11,000円",条件付,5万円～,1.2,1.0,指定なし,"10,000円",Pontaポイント,100円→1P,なし,自動付帯,5000,100,"QUICPay/WAON/交通系",なし,"Apple Pay",国内主要空港,なし,可,無料,無料,あり,あり,あり,なし,高校生を除く18歳以上,"15,000P",2025-11-16,入会+利用でポイント進呈,default.png,ネット通販優遇・ラウンジ特典,ETC有料・年会費が高い
JCBカード,JCB,一般,"American Express/Diners/MasterCard",永年無料,条件なし,3万円～5万円,1.0,0.5,指定なし,"5,000円",オキドキポイント,100円→1P,なし,なし,0,100,"QUICPay/交通系/楽天Edy",あり,"Apple Pay/Google Pay/おサイフケータイ",なし,なし,不可,無料,550円,なし,なし,あり,あり,高校生を除く18歳以上,"10,000P",2026-01-14,入会+利用でポイント進呈,default.png,コンビニ優遇・ネット通販優遇・マイル移行・即時発行,家族カードなし
ビューカードゴールド,ビューカード,ゴールド,"American Express/VISA","11,000円",条件付,5万円～,1.2,0.0,電車や駅での買い物,"5,000円",JREポイント,100円→1P,なし,なし,3000,100,"QUICPay/iD/交通系/楽天Edy",なし,"Google Pay",国内主要空港,なし,可,"1,100円",550円,なし,あり,あり,あり,高校生を除く18歳以上,"3,000P",2025-12-02,入会+利用でポイント進呈,default.png,タッチ決済・ネット通販優遇,家族カードなし・海外手数料高め
オリコカードプラチナ,オリコ,プラチナ,"American Express/VISA","33,000円",条件付,5万円～,1.5,0.2,指定なし,"5,000円",オリコポイント,100円→1P,なし,利用付帯,1000,100,"QUICPay/iD",あり,"Google Pay",国内+海外ラウンジ,あり,不可,無料,550円,あり,なし,あり,なし,高校生を除く18歳以上,"15,000P",2026-02-10,入会+利用でポイント進呈,default.png,"コンビニrb優遇・即時発行・年会費無料",旅行保険弱め・海外手数料高め
JCB カード W,JCB,一般,JCB,永年無料,条件なし,3万円～5万円,1.0,0.5,指定なし,上限なし,OkiDokiポイント,100円→1P,あり,利用付帯,2000,100,QUICPay,あり,"Apple Pay/Google Pay",なし,なし,可,無料,無料,あり,あり,なし,あり,18歳以上39歳以下,"5,000P",2025-12-31,入会+利用でポイント進呈,default.png,高還元・年会費無料,申込39歳まで
